Test Name,Year,Session,Subject,Number,Question,image,law,Option 1,Option 2,Option 3,Option 4,Answer,제외 여부,법령 이름,모델명,총문제수,정답수,추출실패,정확도(%),총소요시간(초),문제당평균시간(초),입력토큰,출력토큰,총토큰,비용수준,예측답,정답여부,모델응답
산업안전기사,2003,1,안전관리론,7,다음 중 재해 예방을 위한 시정책의 3E로서 적당하지 않은 것은?,text_only,,교육,기술,에너지,독려,3,,,Claude Sonnet 4,282,1,0,100.0,2.55,2.55,109,5,114,중간,3,True,3
산업안전기사,2003,1,전기위험방지기술,66,가연성 가스 및 증기용 내압 방폭형 기계ㆍ기구의 너트는 몇 산 이상 물리도록 해야 하는가?,text_only,,3산,4산,5산,6산,3,,,Claude Sonnet 4,282,2,0,100.0,5.18,2.59,237,10,247,중간,3,True,3
산업안전기사,2003,1,건설안전기술,113,다음 중 토석붕괴의 외적 요인이 아닌 것은?,text_only,,"사면, 법면의 경사 및 구배 증가",공사에 의한 진동 및 반복하중의 증가,토석의 강도저하,"지진, 차량, 구조물의 중량",3,,,Claude Sonnet 4,282,2,1,66.67,11.69,3.9,389,110,499,중간,N/A,False,"3

토석붕괴의 요인은 내적 요인과 외적 요인으로 구분됩니다.

- 외적 요인: 사면의 경사 변화, 진동, 하중 증가, 지진 등 외부에서 가해지는 요인
- 내적 요인: 토석 자"
산업안전기사,2003,2,안전관리론,17,다음은 방진마스크를 선택할 때의 일반적인 유의사항에 관한 설명 중 틀린 것은?,text_only,,중량이 가벼울수록 좋다.,흡기저항이 큰 것일수록 좋다.,안면에의 밀착성이 좋아야 한다.,손질하기가 간편할수록 좋다.,2,,,Claude Sonnet 4,282,3,1,75.0,14.18,3.54,566,115,681,중간,2,True,2
산업안전기사,2003,2,인간공학 및 시스템안전공학,32,인간이 신호나 경고등을 지각하는데 영향을 끼치는 인자가 있다. 예를 들어 신호등이 네온사인이나 크리스마스트리 등이 있는 지역에 설치되어 있을 경우 식별이 어려운데 이와 같은 영향을 미치는 인자는 어느 것인가?,text_only,,광원의 크기,등의 색깔,점멸속도,배경불빛,4,,,Claude Sonnet 4,282,4,1,80.0,16.42,3.28,769,120,889,중간,4,True,4
산업안전기사,2003,2,기계위험방지기술,44,마찰 클러치의 특징이 아닌 것은?,text_only,,충격을 일으킨다.,마찰과 과열을 피할 수 없다.,안전장치의 역할을 한다.,과대한 하중이 걸리면 미끄러져 안전하다.,1,,,Claude Sonnet 4,282,5,1,83.33,18.4,3.07,917,125,1042,중간,1,True,1
산업안전기사,2003,2,건설안전기술,104,건설현장에서 가설계단을 설치할 때의 내용으로 옳은것은 다음 중 어느 것인가?,text_only,,"가설계단은 1단 높이 30cm, 발판의 폭 35∼40cm를 표준으로 한다.","계단 폭은 옥내 85cm이상, 옥외 75cm이상으로 한다.",계단 경사는 40°∼ 45° 가 적당하다.,난간의 기둥간격은 120∼150cm로 하며 적절한 조명설비를 갖춘다.,4,,,Claude Sonnet 4,282,5,1,71.43,20.72,2.96,1153,130,1283,중간,1,False,1
산업안전기사,2003,3,안전관리론,2,"100년 전 일본 국철에서 실시된 기법인데 현재는 국내 산업 현장에서도 많이 활용되고 있는 것으로서 인간의 실수를 없애기 위하여 눈, 손, 입 그리고 귀를 이용하여 작업착수 전에 대뇌를 자극 시켜 안전 확보를 하기 위한 기법은?",text_only,,브레인 스토밍,터치 앤드 콜,롤 플레잉,지적 확인,4,,,Claude Sonnet 4,282,5,1,62.5,23.39,2.92,1376,135,1511,중간,2,False,2
산업안전기사,2003,3,인간공학 및 시스템안전공학,33,"조작자와 제어버튼 사이의 거리, 선반의 높이, 조작에 필요한 힘 등을 정할 때 적용되는 인체측정자료 응용원칙은 어느 것인가?",text_only,,평균치설계,최대치설계,최소치설계,조절식설계,3,,,Claude Sonnet 4,282,5,1,55.56,25.93,2.88,1532,140,1672,중간,2,False,2
산업안전기사,2003,3,전기위험방지기술,65,방폭지역의 구분시 환기가 충분한 장소란 대기 중의 가스·증기의 밀도가 폭발하한계의 몇 % 를 초과하여 축적되는 것을 방지하는데 충분한 환기량이 보장되는 장소를 말하는가?,text_only,,0.2,0.25,0.3,0.4,2,,,Claude Sonnet 4,282,6,1,60.0,28.25,2.83,1706,145,1851,중간,2,True,2
산업안전기사,2003,3,화학설비위험방지기술,95,고압(高壓)의 공기 중에서 장시간 작업하는 경우에 일어나는 잠함병(潛函病)또는 잠수병(潛水病)은 어떤 물질에 의하여 중독현상이 일어나는가?,text_only,,아황산가스,황화수소,일산화탄소,질소,4,,,Claude Sonnet 4,282,7,1,63.64,30.78,2.8,1870,150,2020,중간,4,True,4
산업안전기사,2004,1,안전관리론,19,안전교육 성과를 위한 그룹활동의 지도방법 중 미국의 크리가 주장한 소집단 활동으로서 1차 집단은?,text_only,,직접 대면하는 옆 동료 근로자,안전 학술단체의 회원들,정부 안전 관련자,산업안전 협회 등 단체,1,,,Claude Sonnet 4,282,8,1,66.67,33.13,2.76,2039,155,2194,중간,1,True,1
산업안전기사,2004,1,인간공학 및 시스템안전공학,38,인간-기계 시스템 설계 시 인간공학적 설계의 일반적인 원칙에 해당되지 않는 것은?,text_only,,인간의 특성을 고려한다.,작업특성에 적합하여야 한다.,시스템을 인간의 예상과 양립시킨다.,"표시장치나 제어장치의 중요성, 사용빈도, 사용순서, 기능에 따라 배치하도록 한다.",2,,,Claude Sonnet 4,282,9,1,69.23,35.69,2.75,2243,160,2403,중간,2,True,2
산업안전기사,2004,1,기계위험방지기술,55,"어떤 봉이 인장력을 받아 세로변형율 ε 은 0.02가 되었다. 이 봉의 세로탄성계수가 $2.1×10^6$kg/cm$^2$라면 가로변형률 ε' 는? (단, 재료의 푸아송 수는 3이다.)",text_only,,0.0067,0.0047,0.0078,0.002,1,,,Claude Sonnet 4,282,9,2,64.29,39.0,2.79,2425,260,2685,중간,N/A,False,"주어진 조건을 정리하면:
- 세로변형률 ε = 0.02
- 세로탄성계수 E = 2.1×10⁶ kg/cm²
- 푸아송 수 ν = 3

푸아송 수와 변형률의 관계식은:
ν = -ε'/"
