Test Name,Year,Session,Subject,Number,Question,image,law,Option 1,Option 2,Option 3,Option 4,Answer,모델명,총문제수,정답수,추출실패,정확도(%),총소요시간(초),문제당평균시간(초),입력토큰,출력토큰,총토큰,비용수준,예측답,정답여부,모델응답,question_duration,question_emissions_g,question_emissions_rate,question_energy_wh,question_energy_consumed,question_cpu_energy_wh,question_cpu_energy,question_gpu_energy_wh,question_gpu_energy,question_ram_energy_wh,question_ram_energy,question_cpu_emissions_g,question_gpu_emissions_g,question_ram_emissions_g,total_emissions_g,total_emissions,total_emissions_rate,total_energy_wh,total_energy_consumed,total_cpu_energy_wh,total_cpu_energy,total_gpu_energy_wh,total_gpu_energy,total_ram_energy_wh,total_ram_energy,total_cpu_emissions_g,total_gpu_emissions_g,total_ram_emissions_g,cpu_power,gpu_power,ram_power,carbon_intensity,country_name,country_iso_code,region,cloud_provider,cloud_region,timestamp,duration,tracking_mode,on_cloud,pue,cpu_count,cpu_model,gpu_count,gpu_model,ram_total_size,python_version,os,codecarbon_version,제외 여부,법령 이름,문제번호,프롬프트
산업안전기사,2003,1,안전관리론,7,다음 중 재해 예방을 위한 시정책의 3E로서 적당하지 않은 것은?,text_only,,교육,기술,에너지,독려,3,EXAONE-4.0.1-32B,282,175,0,62.06,981.3,2.52,79,2,81,0.0,3,True,3,2.5184,0.043686,2.5e-08,0.0948,9.48e-05,0.0297,2.97e-05,0.0385,3.85e-05,0.0266,2.66e-05,0.015022,0.019441,0.013425,17.019877159214925,0.0094457673398286,9.62563029272504e-06,36.930272998366625,0.036930272998366626,11.5846134063149,0.0115846134063149,14.992299721667223,0.014992299721667223,10.3533598703844,0.0103533598703844,5.852546692870288,7.574109819386281,5.2305174065181985,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-03T18:03:31,981.3141636000364,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,,,1,"문제: 다음 중 재해 예방을 위한 시정책의 3E로서 적당하지 않은 것은?

선택지:
1. 교육
2. 기술
3. 에너지
4. 독려

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
산업안전기사,2003,1,전기위험방지기술,66,가연성 가스 및 증기용 내압 방폭형 기계ㆍ기구의 너트는 몇 산 이상 물리도록 해야 하는가?,text_only,,3산,4산,5산,6산,3,EXAONE-4.0.1-32B,282,175,0,62.06,981.3,2.68,94,2,96,0.0,4,False,4,2.6772,0.04644,2.6e-08,0.1008,0.0001008,0.0316,3.16e-05,0.0409,4.09e-05,0.0282,2.82e-05,0.015969,0.020666,0.014272,17.019877159214925,0.0094457673398286,9.62563029272504e-06,36.930272998366625,0.036930272998366626,11.5846134063149,0.0115846134063149,14.992299721667223,0.014992299721667223,10.3533598703844,0.0103533598703844,5.852546692870288,7.574109819386281,5.2305174065181985,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-03T18:03:31,981.3141636000364,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,,,2,"문제: 가연성 가스 및 증기용 내압 방폭형 기계ㆍ기구의 너트는 몇 산 이상 물리도록 해야 하는가?

선택지:
1. 3산
2. 4산
3. 5산
4. 6산

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
산업안전기사,2003,1,건설안전기술,113,다음 중 토석붕괴의 외적 요인이 아닌 것은?,text_only,,"사면, 법면의 경사 및 구배 증가",공사에 의한 진동 및 반복하중의 증가,토석의 강도저하,"지진, 차량, 구조물의 중량",3,EXAONE-4.0.1-32B,282,175,0,62.06,981.3,2.72,101,2,103,0.0,3,True,3,2.7207,0.047193,2.7e-08,0.1024,0.0001024,0.0321,3.21e-05,0.0416,4.16e-05,0.0287,2.87e-05,0.016228,0.021002,0.014503,17.019877159214925,0.0094457673398286,9.62563029272504e-06,36.930272998366625,0.036930272998366626,11.5846134063149,0.0115846134063149,14.992299721667223,0.014992299721667223,10.3533598703844,0.0103533598703844,5.852546692870288,7.574109819386281,5.2305174065181985,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-03T18:03:31,981.3141636000364,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,,,3,"문제: 다음 중 토석붕괴의 외적 요인이 아닌 것은?

선택지:
1. 사면, 법면의 경사 및 구배 증가
2. 공사에 의한 진동 및 반복하중의 증가
3. 토석의 강도저하
4. 지진, 차량, 구조물의 중량

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
산업안전기사,2003,2,안전관리론,17,다음은 방진마스크를 선택할 때의 일반적인 유의사항에 관한 설명 중 틀린 것은?,text_only,,중량이 가벼울수록 좋다.,흡기저항이 큰 것일수록 좋다.,안면에의 밀착성이 좋아야 한다.,손질하기가 간편할수록 좋다.,2,EXAONE-4.0.1-32B,282,175,0,62.06,981.3,2.99,112,2,114,0.0,2,True,2,2.9949,0.051949,2.9e-08,0.1127,0.0001127,0.0354,3.54e-05,0.0458,4.58e-05,0.0316,3.16e-05,0.017864,0.023118,0.015965,17.019877159214925,0.0094457673398286,9.62563029272504e-06,36.930272998366625,0.036930272998366626,11.5846134063149,0.0115846134063149,14.992299721667223,0.014992299721667223,10.3533598703844,0.0103533598703844,5.852546692870288,7.574109819386281,5.2305174065181985,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-03T18:03:31,981.3141636000364,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,,,4,"문제: 다음은 방진마스크를 선택할 때의 일반적인 유의사항에 관한 설명 중 틀린 것은?

선택지:
1. 중량이 가벼울수록 좋다.
2. 흡기저항이 큰 것일수록 좋다.
3. 안면에의 밀착성이 좋아야 한다.
4. 손질하기가 간편할수록 좋다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
산업안전기사,2003,2,인간공학 및 시스템안전공학,32,인간이 신호나 경고등을 지각하는데 영향을 끼치는 인자가 있다. 예를 들어 신호등이 네온사인이나 크리스마스트리 등이 있는 지역에 설치되어 있을 경우 식별이 어려운데 이와 같은 영향을 미치는 인자는 어느 것인가?,text_only,,광원의 크기,등의 색깔,점멸속도,배경불빛,4,EXAONE-4.0.1-32B,282,175,0,62.06,981.3,3.1,125,2,127,0.0,4,True,4,3.0987,0.05375,3e-08,0.1166,0.0001166,0.0366,3.66e-05,0.0473,4.73e-05,0.0327,3.27e-05,0.018483,0.02392,0.016518,17.019877159214925,0.0094457673398286,9.62563029272504e-06,36.930272998366625,0.036930272998366626,11.5846134063149,0.0115846134063149,14.992299721667223,0.014992299721667223,10.3533598703844,0.0103533598703844,5.852546692870288,7.574109819386281,5.2305174065181985,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-03T18:03:31,981.3141636000364,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,,,5,"문제: 인간이 신호나 경고등을 지각하는데 영향을 끼치는 인자가 있다. 예를 들어 신호등이 네온사인이나 크리스마스트리 등이 있는 지역에 설치되어 있을 경우 식별이 어려운데 이와 같은 영향을 미치는 인자는 어느 것인가?

선택지:
1. 광원의 크기
2. 등의 색깔
3. 점멸속도
4. 배경불빛

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
산업안전기사,2003,2,기계위험방지기술,44,마찰 클러치의 특징이 아닌 것은?,text_only,,충격을 일으킨다.,마찰과 과열을 피할 수 없다.,안전장치의 역할을 한다.,과대한 하중이 걸리면 미끄러져 안전하다.,1,EXAONE-4.0.1-32B,282,175,0,62.06,981.3,2.56,92,2,94,0.0,4,False,4,2.5571,0.044356,2.5e-08,0.0962,9.62e-05,0.0302,3.02e-05,0.0391,3.91e-05,0.027,2.7e-05,0.015252,0.019739,0.013631,17.019877159214925,0.0094457673398286,9.62563029272504e-06,36.930272998366625,0.036930272998366626,11.5846134063149,0.0115846134063149,14.992299721667223,0.014992299721667223,10.3533598703844,0.0103533598703844,5.852546692870288,7.574109819386281,5.2305174065181985,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-03T18:03:31,981.3141636000364,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,,,6,"문제: 마찰 클러치의 특징이 아닌 것은?

선택지:
1. 충격을 일으킨다.
2. 마찰과 과열을 피할 수 없다.
3. 안전장치의 역할을 한다.
4. 과대한 하중이 걸리면 미끄러져 안전하다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
산업안전기사,2003,2,건설안전기술,104,건설현장에서 가설계단을 설치할 때의 내용으로 옳은것은 다음 중 어느 것인가?,text_only,,"가설계단은 1단 높이 30cm, 발판의 폭 35∼40cm를 표준으로 한다.","계단 폭은 옥내 85cm이상, 옥외 75cm이상으로 한다.",계단 경사는 40°∼ 45° 가 적당하다.,난간의 기둥간격은 120∼150cm로 하며 적절한 조명설비를 갖춘다.,4,EXAONE-4.0.1-32B,282,175,0,62.06,981.3,4.74,169,2,171,0.0,1,False,1,4.7402,0.082224,4.7e-08,0.1784,0.0001784,0.056,5.6e-05,0.0724,7.24e-05,0.05,5e-05,0.028274,0.036591,0.025269,17.019877159214925,0.0094457673398286,9.62563029272504e-06,36.930272998366625,0.036930272998366626,11.5846134063149,0.0115846134063149,14.992299721667223,0.014992299721667223,10.3533598703844,0.0103533598703844,5.852546692870288,7.574109819386281,5.2305174065181985,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-03T18:03:31,981.3141636000364,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,,,7,"문제: 건설현장에서 가설계단을 설치할 때의 내용으로 옳은것은 다음 중 어느 것인가?

선택지:
1. 가설계단은 1단 높이 30cm, 발판의 폭 35∼40cm를 표준으로 한다.
2. 계단 폭은 옥내 85cm이상, 옥외 75cm이상으로 한다.
3. 계단 경사는 40°∼ 45° 가 적당하다.
4. 난간의 기둥간격은 120∼150cm로 하며 적절한 조명설비를 갖춘다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
산업안전기사,2003,3,안전관리론,2,"100년 전 일본 국철에서 실시된 기법인데 현재는 국내 산업 현장에서도 많이 활용되고 있는 것으로서 인간의 실수를 없애기 위하여 눈, 손, 입 그리고 귀를 이용하여 작업착수 전에 대뇌를 자극 시켜 안전 확보를 하기 위한 기법은?",text_only,,브레인 스토밍,터치 앤드 콜,롤 플레잉,지적 확인,4,EXAONE-4.0.1-32B,282,175,0,62.06,981.3,3.03,131,2,133,0.0,4,True,4,3.0318,0.052591,3e-08,0.1141,0.0001141,0.0358,3.58e-05,0.0463,4.63e-05,0.032,3.2e-05,0.018084,0.023404,0.016162,17.019877159214925,0.0094457673398286,9.62563029272504e-06,36.930272998366625,0.036930272998366626,11.5846134063149,0.0115846134063149,14.992299721667223,0.014992299721667223,10.3533598703844,0.0103533598703844,5.852546692870288,7.574109819386281,5.2305174065181985,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-03T18:03:31,981.3141636000364,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,,,8,"문제: 100년 전 일본 국철에서 실시된 기법인데 현재는 국내 산업 현장에서도 많이 활용되고 있는 것으로서 인간의 실수를 없애기 위하여 눈, 손, 입 그리고 귀를 이용하여 작업착수 전에 대뇌를 자극 시켜 안전 확보를 하기 위한 기법은?

선택지:
1. 브레인 스토밍
2. 터치 앤드 콜
3. 롤 플레잉
4. 지적 확인

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
산업안전기사,2003,3,인간공학 및 시스템안전공학,33,"조작자와 제어버튼 사이의 거리, 선반의 높이, 조작에 필요한 힘 등을 정할 때 적용되는 인체측정자료 응용원칙은 어느 것인가?",text_only,,평균치설계,최대치설계,최소치설계,조절식설계,3,EXAONE-4.0.1-32B,282,175,0,62.06,981.3,2.54,103,2,105,0.0,4,False,4,2.5381,0.044026,2.5e-08,0.0955,9.55e-05,0.03,3e-05,0.0388,3.88e-05,0.0268,2.68e-05,0.015139,0.019592,0.01353,17.019877159214925,0.0094457673398286,9.62563029272504e-06,36.930272998366625,0.036930272998366626,11.5846134063149,0.0115846134063149,14.992299721667223,0.014992299721667223,10.3533598703844,0.0103533598703844,5.852546692870288,7.574109819386281,5.2305174065181985,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-03T18:03:31,981.3141636000364,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,,,9,"문제: 조작자와 제어버튼 사이의 거리, 선반의 높이, 조작에 필요한 힘 등을 정할 때 적용되는 인체측정자료 응용원칙은 어느 것인가?

선택지:
1. 평균치설계
2. 최대치설계
3. 최소치설계
4. 조절식설계

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
산업안전기사,2003,3,전기위험방지기술,65,방폭지역의 구분시 환기가 충분한 장소란 대기 중의 가스·증기의 밀도가 폭발하한계의 몇 % 를 초과하여 축적되는 것을 방지하는데 충분한 환기량이 보장되는 장소를 말하는가?,text_only,,0.2,0.25,0.3,0.4,2,EXAONE-4.0.1-32B,282,175,0,62.06,981.3,2.62,125,2,127,0.0,2,True,2,2.6205,0.045456,2.6e-08,0.0986,9.86e-05,0.0309,3.09e-05,0.04,4e-05,0.0277,2.77e-05,0.015631,0.020229,0.013969,17.019877159214925,0.0094457673398286,9.62563029272504e-06,36.930272998366625,0.036930272998366626,11.5846134063149,0.0115846134063149,14.992299721667223,0.014992299721667223,10.3533598703844,0.0103533598703844,5.852546692870288,7.574109819386281,5.2305174065181985,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-03T18:03:31,981.3141636000364,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,,,10,"문제: 방폭지역의 구분시 환기가 충분한 장소란 대기 중의 가스·증기의 밀도가 폭발하한계의 몇 % 를 초과하여 축적되는 것을 방지하는데 충분한 환기량이 보장되는 장소를 말하는가?

선택지:
1. 0.2
2. 0.25
3. 0.3
4. 0.4

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
